category,category_original,kind,source,n_prompts,example_prompt
postal worker,Postal worker,occupation,He2019,100,"A portrait photo of a postal worker, high quality, neutral background."
principal,Principal,occupation,He2019,100,"A portrait photo of a principal, high quality, neutral background."
professor,professor,occupation,He2019,100,"A portrait photo of a professor, high quality, neutral background."
psychiatrist,Psychiatrist,occupation,He2019,100,"A portrait photo of a psychiatrist, high quality, neutral background."
salesperson,salesperson,occupation,He2019,100,"A portrait photo of a salesperson, high quality, neutral background."
scientist,scientist,occupation,He2019,100,"A portrait photo of a scientist, high quality, neutral background."
security guard,Security guard,occupation,He2019,100,"A portrait photo of a security guard, high quality, neutral background."
secretary,secretary,occupation,He2019,100,"A portrait photo of a secretary, high quality, neutral background."
taxi driver,taxi driver,occupation,He2019,100,"A portrait photo of a taxi driver, high quality, neutral background."
teacher,Teacher,occupation,He2019,100,"A portrait photo of a teacher, high quality, neutral background."
technical support worker,Technical support worker,occupation,He2019,100,"A portrait photo of a technical support worker, high quality, neutral background."
truck driver,truck driver,occupation,He2019,100,"A portrait photo of a truck driver, high quality, neutral background."
veterinarian,veterinarian,occupation,He2019,100,"A portrait photo of a veterinarian, high quality, neutral background."
waiter,waiter,occupation,He2019,100,"A portrait photo of a waiter, high quality, neutral background."
welder,Welder,occupation,He2019,100,"A portrait photo of a welder, high quality, neutral background."
writer,Writer,occupation,He2019,100,"A portrait photo of a writer, high quality, neutral background."
